Place,Time,Marking
>New batch arrives,1.5,1
>New batch arrives,1.5,2
Sealer standby state,1.5,0
Heat-sealing packaging,1.5,1
>New batch arrives,1.5,1
Heat-sealing packaging,1.5,1
>New batch arrives,1.5,0
>New batch arrives,3.0,1
>New batch arrives,3.0,2
>New batch arrives,4.5,3
>New batch arrives,4.5,4
Heat-sealing packaging,5.05,0
Sealer standby state,5.05,1
Sealer standby state,5.05,0
Heat-sealing packaging,5.05,1
>New batch arrives,5.05,3
Heat-sealing packaging,5.05,1
>New batch arrives,5.05,2
>New batch arrives,6.0,3
>New batch arrives,6.0,4
>New batch arrives,7.5,5
>New batch arrives,7.5,6
Heat-sealing packaging,8.33,0
Sealer standby state,8.33,1
Sealer standby state,8.33,0
Heat-sealing packaging,8.33,1
>New batch arrives,8.33,5
Heat-sealing packaging,8.33,1
>New batch arrives,8.33,4
>New batch arrives,9.0,5
>New batch arrives,9.0,6
Sealer standby state,10,0
Sealer standby state,10,0
>New batch arrives,10,6
>New batch arrives,10,6
Heat-sealing packaging,10,1
Heat-sealing packaging,10,1
>New batch arrives,1.5,1
>New batch arrives,1.5,2
Sealer standby state,1.5,0
Heat-sealing packaging,1.5,1
>New batch arrives,1.5,1
Heat-sealing packaging,1.5,1
>New batch arrives,1.5,0
>New batch arrives,3.0,1
>New batch arrives,3.0,2
>New batch arrives,4.5,3
>New batch arrives,4.5,4
Heat-sealing packaging,4.81,0
Sealer standby state,4.81,1
Sealer standby state,4.81,0
Heat-sealing packaging,4.81,1
>New batch arrives,4.81,3
Heat-sealing packaging,4.81,1
>New batch arrives,4.81,2
>New batch arrives,6.0,3
>New batch arrives,6.0,4
>New batch arrives,7.5,5
>New batch arrives,7.5,6
Heat-sealing packaging,8.19,0
Sealer standby state,8.19,1
Sealer standby state,8.19,0
Heat-sealing packaging,8.19,1
>New batch arrives,8.19,5
Heat-sealing packaging,8.19,1
>New batch arrives,8.19,4
>New batch arrives,9.0,5
>New batch arrives,9.0,6
>New batch arrives,10.5,7
>New batch arrives,10.5,8
Heat-sealing packaging,11.68,0
Sealer standby state,11.68,1
Sealer standby state,11.68,0
Heat-sealing packaging,11.68,1
>New batch arrives,11.68,7
Heat-sealing packaging,11.68,1
>New batch arrives,11.68,6
>New batch arrives,12.0,7
>New batch arrives,12.0,8
>New batch arrives,13.5,9
>New batch arrives,13.5,10
>New batch arrives,15.0,11
>New batch arrives,15.0,12
Heat-sealing packaging,15.46,0
Sealer standby state,15.46,1
Sealer standby state,15.46,0
Heat-sealing packaging,15.46,1
>New batch arrives,15.46,11
Heat-sealing packaging,15.46,1
>New batch arrives,15.46,10
>New batch arrives,16.5,11
>New batch arrives,16.5,12
>New batch arrives,18.0,13
>New batch arrives,18.0,14
Heat-sealing packaging,18.95,0
Sealer standby state,18.95,1
Sealer standby state,18.95,0
Heat-sealing packaging,18.95,1
>New batch arrives,18.95,13
Heat-sealing packaging,18.95,1
>New batch arrives,18.95,12
>New batch arrives,19.5,13
>New batch arrives,19.5,14
>New batch arrives,21.0,15
>New batch arrives,21.0,16
>New batch arrives,22.5,17
>New batch arrives,22.5,18
Heat-sealing packaging,22.74,0
Sealer standby state,22.74,1
Sealer standby state,22.74,0
Heat-sealing packaging,22.74,1
>New batch arrives,22.74,17
Heat-sealing packaging,22.74,1
>New batch arrives,22.74,16
>New batch arrives,24.0,17
>New batch arrives,24.0,18
>New batch arrives,25.5,19
>New batch arrives,25.5,20
Heat-sealing packaging,26.41,0
Sealer standby state,26.41,1
Sealer standby state,26.41,0
Heat-sealing packaging,26.41,1
>New batch arrives,26.41,19
Heat-sealing packaging,26.41,1
>New batch arrives,26.41,18
>New batch arrives,27.0,19
>New batch arrives,27.0,20
>New batch arrives,28.5,21
>New batch arrives,28.5,22
Heat-sealing packaging,29.98,0
Sealer standby state,29.98,1
Sealer standby state,29.98,0
Heat-sealing packaging,29.98,1
>New batch arrives,29.98,21
Heat-sealing packaging,29.98,1
>New batch arrives,29.98,20
>New batch arrives,30.0,21
>New batch arrives,30.0,22
>New batch arrives,31.5,23
>New batch arrives,31.5,24
>New batch arrives,33.0,25
>New batch arrives,33.0,26
Heat-sealing packaging,33.8,0
Sealer standby state,33.8,1
Sealer standby state,33.8,0
Heat-sealing packaging,33.8,1
>New batch arrives,33.8,25
Heat-sealing packaging,33.8,1
>New batch arrives,33.8,24
>New batch arrives,34.5,25
>New batch arrives,34.5,26
>New batch arrives,36.0,27
>New batch arrives,36.0,28
Heat-sealing packaging,37.3,0
Sealer standby state,37.3,1
Sealer standby state,37.3,0
Heat-sealing packaging,37.3,1
>New batch arrives,37.3,27
Heat-sealing packaging,37.3,1
>New batch arrives,37.3,26
>New batch arrives,37.5,27
>New batch arrives,37.5,28
>New batch arrives,39.0,29
>New batch arrives,39.0,30
Heat-sealing packaging,40.4,0
Sealer standby state,40.4,1
Sealer standby state,40.4,0
Heat-sealing packaging,40.4,1
>New batch arrives,40.4,29
Heat-sealing packaging,40.4,1
>New batch arrives,40.4,28
>New batch arrives,40.5,29
>New batch arrives,40.5,30
>New batch arrives,42.0,31
>New batch arrives,42.0,32
>New batch arrives,43.5,33
>New batch arrives,43.5,34
Heat-sealing packaging,43.89,0
Sealer standby state,43.89,1
Sealer standby state,43.89,0
Heat-sealing packaging,43.89,1
>New batch arrives,43.89,33
Heat-sealing packaging,43.89,1
>New batch arrives,43.89,32
>New batch arrives,45.0,33
>New batch arrives,45.0,34
>New batch arrives,46.5,35
>New batch arrives,46.5,36
Heat-sealing packaging,47.43,0
Sealer standby state,47.43,1
Sealer standby state,47.43,0
Heat-sealing packaging,47.43,1
>New batch arrives,47.43,35
Heat-sealing packaging,47.43,1
>New batch arrives,47.43,34
>New batch arrives,48.0,35
>New batch arrives,48.0,36
>New batch arrives,49.5,37
>New batch arrives,49.5,38
Heat-sealing packaging,50.67,0
Sealer standby state,50.67,1
Sealer standby state,50.67,0
Heat-sealing packaging,50.67,1
>New batch arrives,50.67,37
Heat-sealing packaging,50.67,1
>New batch arrives,50.67,36
>New batch arrives,51.0,37
>New batch arrives,51.0,38
>New batch arrives,52.5,39
>New batch arrives,52.5,40
>New batch arrives,54.0,41
>New batch arrives,54.0,42
Heat-sealing packaging,54.06,0
Sealer standby state,54.06,1
Sealer standby state,54.06,0
Heat-sealing packaging,54.06,1
>New batch arrives,54.06,41
Heat-sealing packaging,54.06,1
>New batch arrives,54.06,40
>New batch arrives,55.5,41
>New batch arrives,55.5,42
>New batch arrives,57.0,43
>New batch arrives,57.0,44
Heat-sealing packaging,57.76,0
Sealer standby state,57.76,1
Sealer standby state,57.76,0
Heat-sealing packaging,57.76,1
>New batch arrives,57.76,43
Heat-sealing packaging,57.76,1
>New batch arrives,57.76,42
>New batch arrives,58.5,43
>New batch arrives,58.5,44
>New batch arrives,60.0,45
>New batch arrives,60.0,46
Heat-sealing packaging,61.28,0
Sealer standby state,61.28,1
Sealer standby state,61.28,0
Heat-sealing packaging,61.28,1
>New batch arrives,61.28,45
Heat-sealing packaging,61.28,1
>New batch arrives,61.28,44
>New batch arrives,61.5,45
>New batch arrives,61.5,46
>New batch arrives,63.0,47
>New batch arrives,63.0,48
>New batch arrives,64.5,49
>New batch arrives,64.5,50
Heat-sealing packaging,65.01,0
Sealer standby state,65.01,1
Sealer standby state,65.01,0
Heat-sealing packaging,65.01,1
>New batch arrives,65.01,49
Heat-sealing packaging,65.01,1
>New batch arrives,65.01,48
>New batch arrives,66.0,49
>New batch arrives,66.0,50
>New batch arrives,67.5,51
>New batch arrives,67.5,52
Heat-sealing packaging,68.08,0
Sealer standby state,68.08,1
